X1,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
122640,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-01,Parts per billion,30.208333,48,23,45,Parts per million,0.01125,0.028,9,24,Parts per billion,1.020833,1.6,22,1,Parts per million,0.554167,1.5,22,NA
122641,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-01,Parts per billion,30.208333,48,23,45,Parts per million,0.01125,0.028,9,24,Parts per billion,1.020833,1.6,22,1,Parts per million,0.468421,0.9,23,10
122642,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-01,Parts per billion,30.208333,48,23,45,Parts per million,0.01125,0.028,9,24,Parts per billion,1,1.5,23,NA,Parts per million,0.554167,1.5,22,NA
122643,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-01,Parts per billion,30.208333,48,23,45,Parts per million,0.01125,0.028,9,24,Parts per billion,1,1.5,23,NA,Parts per million,0.468421,0.9,23,10
122644,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-02,Parts per billion,35,49,23,46,Parts per million,0.012333,0.028,9,24,Parts per billion,1.358333,2.2,14,3,Parts per million,0.491667,1.2,0,NA
122645,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-02,Parts per billion,35,49,23,46,Parts per million,0.012333,0.028,9,24,Parts per billion,1.358333,2.2,14,3,Parts per million,0.5875,1.1,2,13
122646,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-02,Parts per billion,35,49,23,46,Parts per million,0.012333,0.028,9,24,Parts per billion,1.3375,1.8,14,NA,Parts per million,0.491667,1.2,0,NA
122647,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-02,Parts per billion,35,49,23,46,Parts per million,0.012333,0.028,9,24,Parts per billion,1.3375,1.8,14,NA,Parts per million,0.5875,1.1,2,13
122648,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-03,Parts per billion,34.958333,53,23,50,Parts per million,0.011417,0.025,10,21,Parts per billion,1.495833,2.4,10,3,Parts per million,0.4875,1,20,NA
122649,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-03,Parts per billion,34.958333,53,23,50,Parts per million,0.011417,0.025,10,21,Parts per billion,1.495833,2.4,10,3,Parts per million,0.441667,0.7,23,8
122650,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-03,Parts per billion,34.958333,53,23,50,Parts per million,0.011417,0.025,10,21,Parts per billion,1.4375,2,11,NA,Parts per million,0.4875,1,20,NA
122651,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-03,Parts per billion,34.958333,53,23,50,Parts per million,0.011417,0.025,10,21,Parts per billion,1.4375,2,11,NA,Parts per million,0.441667,0.7,23,8
122652,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-04,Parts per billion,48.47619,58,17,55,Parts per million,0.0035,0.011,12,9,Parts per billion,1.485714,2.4,14,3,Parts per million,0.657143,1,22,NA
122653,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-04,Parts per billion,48.47619,58,17,55,Parts per million,0.0035,0.011,12,9,Parts per billion,1.485714,2.4,14,3,Parts per million,0.672222,0.8,0,9
122654,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-04,Parts per billion,48.47619,58,17,55,Parts per million,0.0035,0.011,12,9,Parts per billion,1.35,1.8,17,NA,Parts per million,0.657143,1,22,NA
122655,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-04,Parts per billion,48.47619,58,17,55,Parts per million,0.0035,0.011,12,9,Parts per billion,1.35,1.8,17,NA,Parts per million,0.672222,0.8,0,9
122656,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-05,Parts per billion,52.590909,61,21,58,Parts per million,0.003917,0.011,10,9,Parts per billion,1.590909,2.1,22,3,Parts per million,1.118182,1.9,8,NA
122657,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-05,Parts per billion,52.590909,61,21,58,Parts per million,0.003917,0.011,10,9,Parts per billion,1.590909,2.1,22,3,Parts per million,1.029167,1.4,9,16
122658,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-05,Parts per billion,52.590909,61,21,58,Parts per million,0.003917,0.011,10,9,Parts per billion,1.557143,1.9,23,NA,Parts per million,1.118182,1.9,8,NA
122659,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-05,Parts per billion,52.590909,61,21,58,Parts per million,0.003917,0.011,10,9,Parts per billion,1.557143,1.9,23,NA,Parts per million,1.029167,1.4,9,16
122660,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-06,Parts per billion,55.541667,68,10,66,Parts per million,0.003708,0.01,9,8,Parts per billion,1.7875,2.6,8,3,Parts per million,1.045833,2.3,8,NA
122661,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-06,Parts per billion,55.541667,68,10,66,Parts per million,0.003708,0.01,9,8,Parts per billion,1.7875,2.6,8,3,Parts per million,1.158333,1.6,11,18
122662,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-06,Parts per billion,55.541667,68,10,66,Parts per million,0.003708,0.01,9,8,Parts per billion,1.7625,2.2,11,NA,Parts per million,1.045833,2.3,8,NA
122663,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-06,Parts per billion,55.541667,68,10,66,Parts per million,0.003708,0.01,9,8,Parts per billion,1.7625,2.2,11,NA,Parts per million,1.158333,1.6,11,18
122664,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-07,Parts per billion,54.333333,61,12,58,Parts per million,0.0045,0.012,9,10,Parts per billion,1.45,2.7,12,3,Parts per million,0.725,1,12,NA
122665,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-07,Parts per billion,54.333333,61,12,58,Parts per million,0.0045,0.012,9,10,Parts per billion,1.45,2.7,12,3,Parts per million,0.720833,0.8,10,9
122666,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-07,Parts per billion,54.333333,61,12,58,Parts per million,0.0045,0.012,9,10,Parts per billion,1.425,1.9,14,NA,Parts per million,0.725,1,12,NA
122667,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-07,Parts per billion,54.333333,61,12,58,Parts per million,0.0045,0.012,9,10,Parts per billion,1.425,1.9,14,NA,Parts per million,0.720833,0.8,10,9
122668,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-08,Parts per billion,53.541667,61,12,58,Parts per million,0.004542,0.008,9,7,Parts per billion,1.445833,2.1,12,3,Parts per million,0.658333,0.9,2,NA
122669,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-08,Parts per billion,53.541667,61,12,58,Parts per million,0.004542,0.008,9,7,Parts per billion,1.445833,2.1,12,3,Parts per million,0.708333,0.8,12,9
122670,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-08,Parts per billion,53.541667,61,12,58,Parts per million,0.004542,0.008,9,7,Parts per billion,1.4,1.7,5,NA,Parts per million,0.658333,0.9,2,NA
122671,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-08,Parts per billion,53.541667,61,12,58,Parts per million,0.004542,0.008,9,7,Parts per billion,1.4,1.7,5,NA,Parts per million,0.708333,0.8,12,9
122672,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-09,Parts per billion,29.833333,49,23,46,Parts per million,0.011375,0.021,10,18,Parts per billion,1.045833,1.5,11,1,Parts per million,0.408333,1,8,NA
122673,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-09,Parts per billion,29.833333,49,23,46,Parts per million,0.011375,0.021,10,18,Parts per billion,1.045833,1.5,11,1,Parts per million,0.416667,0.5,0,6
122674,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-09,Parts per billion,29.833333,49,23,46,Parts per million,0.011375,0.021,10,18,Parts per billion,1.025,1.3,11,NA,Parts per million,0.408333,1,8,NA
122675,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-09,Parts per billion,29.833333,49,23,46,Parts per million,0.011375,0.021,10,18,Parts per billion,1.025,1.3,11,NA,Parts per million,0.416667,0.5,0,6
122676,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-10,Parts per billion,34.041667,50,0,47,Parts per million,0.01025,0.024,10,20,Parts per billion,1.033333,1.3,0,1,Parts per million,0.525,0.9,7,NA
122677,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-10,Parts per billion,34.041667,50,0,47,Parts per million,0.01025,0.024,10,20,Parts per billion,1.033333,1.3,0,1,Parts per million,0.495833,0.6,7,7
122678,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-10,Parts per billion,34.041667,50,0,47,Parts per million,0.01025,0.024,10,20,Parts per billion,1,1.2,11,NA,Parts per million,0.525,0.9,7,NA
122679,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-10,Parts per billion,34.041667,50,0,47,Parts per million,0.01025,0.024,10,20,Parts per billion,1,1.2,11,NA,Parts per million,0.495833,0.6,7,7
122680,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-11,Parts per billion,42.409091,56,23,53,Parts per million,0.005167,0.014,9,12,Parts per billion,1.372727,2.3,23,3,Parts per million,0.786364,1.6,22,NA
122681,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-11,Parts per billion,42.409091,56,23,53,Parts per million,0.005167,0.014,9,12,Parts per billion,1.372727,2.3,23,3,Parts per million,0.679167,1.1,23,13
122682,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-11,Parts per billion,42.409091,56,23,53,Parts per million,0.005167,0.014,9,12,Parts per billion,1.3,2.1,23,NA,Parts per million,0.786364,1.6,22,NA
122683,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-11,Parts per billion,42.409091,56,23,53,Parts per million,0.005167,0.014,9,12,Parts per billion,1.3,2.1,23,NA,Parts per million,0.679167,1.1,23,13
122684,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-12,Parts per billion,50.954545,62,3,60,Parts per million,0.002417,0.007,9,6,Parts per billion,2.277273,4.7,10,6,Parts per million,0.818182,1.3,4,NA
122685,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-12,Parts per billion,50.954545,62,3,60,Parts per million,0.002417,0.007,9,6,Parts per billion,2.277273,4.7,10,6,Parts per million,0.9375,1.2,0,14
122686,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-12,Parts per billion,50.954545,62,3,60,Parts per million,0.002417,0.007,9,6,Parts per billion,2.185714,3.6,11,NA,Parts per million,0.818182,1.3,4,NA
122687,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-12,Parts per billion,50.954545,62,3,60,Parts per million,0.002417,0.007,9,6,Parts per billion,2.185714,3.6,11,NA,Parts per million,0.9375,1.2,0,14
122688,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-13,Parts per billion,44.652174,57,19,54,Parts per million,0.003875,0.009,9,8,Parts per billion,1.934783,4.4,15,6,Parts per million,0.691304,1.8,8,NA
122689,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-13,Parts per billion,44.652174,57,19,54,Parts per million,0.003875,0.009,9,8,Parts per billion,1.934783,4.4,15,6,Parts per million,0.704167,1.1,13,13
122690,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-13,Parts per billion,44.652174,57,19,54,Parts per million,0.003875,0.009,9,8,Parts per billion,1.814286,2.8,11,NA,Parts per million,0.691304,1.8,8,NA
122691,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-13,Parts per billion,44.652174,57,19,54,Parts per million,0.003875,0.009,9,8,Parts per billion,1.814286,2.8,11,NA,Parts per million,0.704167,1.1,13,13
122692,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-14,Parts per billion,39.583333,53,14,50,Parts per million,0.003667,0.011,9,9,Parts per billion,1.741667,2.7,14,3,Parts per million,0.733333,1.3,20,NA
122693,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-14,Parts per billion,39.583333,53,14,50,Parts per million,0.003667,0.011,9,9,Parts per billion,1.741667,2.7,14,3,Parts per million,0.6625,0.9,23,10
122694,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-14,Parts per billion,39.583333,53,14,50,Parts per million,0.003667,0.011,9,9,Parts per billion,1.6875,2.1,14,NA,Parts per million,0.733333,1.3,20,NA
122695,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-14,Parts per billion,39.583333,53,14,50,Parts per million,0.003667,0.011,9,9,Parts per billion,1.6875,2.1,14,NA,Parts per million,0.6625,0.9,23,10
122696,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-15,Parts per billion,36.125,47,16,44,Parts per million,0.0035,0.009,8,8,Parts per billion,1.666667,2.4,0,3,Parts per million,0.729167,1.4,0,NA
122697,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-15,Parts per billion,36.125,47,16,44,Parts per million,0.0035,0.009,8,8,Parts per billion,1.666667,2.4,0,3,Parts per million,0.7625,1,0,11
122698,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-15,Parts per billion,36.125,47,16,44,Parts per million,0.0035,0.009,8,8,Parts per billion,1.625,2,2,NA,Parts per million,0.729167,1.4,0,NA
122699,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-15,Parts per billion,36.125,47,16,44,Parts per million,0.0035,0.009,8,8,Parts per billion,1.625,2,2,NA,Parts per million,0.7625,1,0,11
122700,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-16,Parts per billion,39.333333,47,6,44,Parts per million,0.001708,0.004,8,3,Parts per billion,1.283333,1.5,6,1,Parts per million,0.7625,1.2,18,NA
122701,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-16,Parts per billion,39.333333,47,6,44,Parts per million,0.001708,0.004,8,3,Parts per billion,1.283333,1.5,6,1,Parts per million,0.758333,1,22,11
122702,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-16,Parts per billion,39.333333,47,6,44,Parts per million,0.001708,0.004,8,3,Parts per billion,1.25,1.4,17,NA,Parts per million,0.7625,1.2,18,NA
122703,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-16,Parts per billion,39.333333,47,6,44,Parts per million,0.001708,0.004,8,3,Parts per billion,1.25,1.4,17,NA,Parts per million,0.758333,1,22,11
122704,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-17,Parts per billion,29.541667,39,22,37,Parts per million,0.008208,0.02,13,17,Parts per billion,1.204167,1.8,10,1,Parts per million,0.5875,1.5,8,NA
122705,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-17,Parts per billion,29.541667,39,22,37,Parts per million,0.008208,0.02,13,17,Parts per billion,1.204167,1.8,10,1,Parts per million,0.666667,1,0,11
122706,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-17,Parts per billion,29.541667,39,22,37,Parts per million,0.008208,0.02,13,17,Parts per billion,1.1625,1.6,11,NA,Parts per million,0.5875,1.5,8,NA
122707,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-17,Parts per billion,29.541667,39,22,37,Parts per million,0.008208,0.02,13,17,Parts per billion,1.1625,1.6,11,NA,Parts per million,0.666667,1,0,11
122708,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-18,Parts per billion,30.125,41,20,39,Parts per million,0.011708,0.021,9,18,Parts per billion,1.104167,2,8,3,Parts per million,0.670833,2.5,8,NA
122709,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-18,Parts per billion,30.125,41,20,39,Parts per million,0.011708,0.021,9,18,Parts per billion,1.104167,2,8,3,Parts per million,0.666667,1.2,9,14
122710,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-18,Parts per billion,30.125,41,20,39,Parts per million,0.011708,0.021,9,18,Parts per billion,1.075,1.7,8,NA,Parts per million,0.670833,2.5,8,NA
122711,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-18,Parts per billion,30.125,41,20,39,Parts per million,0.011708,0.021,9,18,Parts per billion,1.075,1.7,8,NA,Parts per million,0.666667,1.2,9,14
122712,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-19,Parts per billion,16,32,23,30,Parts per million,0.021208,0.031,9,26,Parts per billion,0.908333,1.3,19,1,Parts per million,0.245833,0.5,8,NA
122713,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-19,Parts per billion,16,32,23,30,Parts per million,0.021208,0.031,9,26,Parts per billion,0.908333,1.3,19,1,Parts per million,0.291667,0.5,0,6
122714,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-19,Parts per billion,16,32,23,30,Parts per million,0.021208,0.031,9,26,Parts per billion,0.8625,1.1,11,NA,Parts per million,0.245833,0.5,8,NA
122715,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-19,Parts per billion,16,32,23,30,Parts per million,0.021208,0.031,9,26,Parts per billion,0.8625,1.1,11,NA,Parts per million,0.291667,0.5,0,6
122716,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-20,Parts per billion,24.909091,40,8,38,Parts per million,0.012917,0.03,10,25,Parts per billion,0.936364,1.6,8,1,Parts per million,0.445455,1.4,8,NA
122717,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-20,Parts per billion,24.909091,40,8,38,Parts per million,0.012917,0.03,10,25,Parts per billion,0.936364,1.6,8,1,Parts per million,0.4,0.6,11,7
122718,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-20,Parts per billion,24.909091,40,8,38,Parts per million,0.012917,0.03,10,25,Parts per billion,0.914286,1.1,8,NA,Parts per million,0.445455,1.4,8,NA
122719,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-20,Parts per billion,24.909091,40,8,38,Parts per million,0.012917,0.03,10,25,Parts per billion,0.914286,1.1,8,NA,Parts per million,0.4,0.6,11,7
122720,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-21,Parts per billion,35.809524,44,8,42,Parts per million,0.007944,0.014,12,12,Parts per billion,1.2,2,8,3,Parts per million,0.652381,2.4,8,NA
122721,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-21,Parts per billion,35.809524,44,8,42,Parts per million,0.007944,0.014,12,12,Parts per billion,1.2,2,8,3,Parts per million,0.661111,1.2,12,14
122722,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-21,Parts per billion,35.809524,44,8,42,Parts per million,0.007944,0.014,12,12,Parts per billion,1.133333,1.6,8,NA,Parts per million,0.652381,2.4,8,NA
122723,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-21,Parts per billion,35.809524,44,8,42,Parts per million,0.007944,0.014,12,12,Parts per billion,1.133333,1.6,8,NA,Parts per million,0.661111,1.2,12,14
122724,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-22,Parts per billion,22.916667,38,8,36,Parts per million,0.015875,0.035,10,30,Parts per billion,1,1.4,8,1,Parts per million,0.466667,1.3,8,NA
122725,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-22,Parts per billion,22.916667,38,8,36,Parts per million,0.015875,0.035,10,30,Parts per billion,1,1.4,8,1,Parts per million,0.433333,0.7,9,8
122726,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-22,Parts per billion,22.916667,38,8,36,Parts per million,0.015875,0.035,10,30,Parts per billion,0.9625,1.1,8,NA,Parts per million,0.466667,1.3,8,NA
122727,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-22,Parts per billion,22.916667,38,8,36,Parts per million,0.015875,0.035,10,30,Parts per billion,0.9625,1.1,8,NA,Parts per million,0.433333,0.7,9,8
122728,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-23,Parts per billion,23.625,39,20,37,Parts per million,0.014875,0.033,10,28,Parts per billion,0.908333,1.1,0,1,Parts per million,0.395833,0.8,0,NA
122729,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-23,Parts per billion,23.625,39,20,37,Parts per million,0.014875,0.033,10,28,Parts per billion,0.908333,1.1,0,1,Parts per million,0.416667,0.7,2,8
122730,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-23,Parts per billion,23.625,39,20,37,Parts per million,0.014875,0.033,10,28,Parts per billion,0.875,1,20,NA,Parts per million,0.395833,0.8,0,NA
122731,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-23,Parts per billion,23.625,39,20,37,Parts per million,0.014875,0.033,10,28,Parts per billion,0.875,1,20,NA,Parts per million,0.416667,0.7,2,8
122732,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-24,Parts per billion,35.083333,45,8,42,Parts per million,0.007,0.019,10,16,Parts per billion,1.441667,2.6,8,3,Parts per million,0.7875,3.1,8,NA
122733,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-24,Parts per billion,35.083333,45,8,42,Parts per million,0.007,0.019,10,16,Parts per billion,1.441667,2.6,8,3,Parts per million,0.758333,1.3,9,15
122734,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-24,Parts per billion,35.083333,45,8,42,Parts per million,0.007,0.019,10,16,Parts per billion,1.4125,1.9,8,NA,Parts per million,0.7875,3.1,8,NA
122735,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-24,Parts per billion,35.083333,45,8,42,Parts per million,0.007,0.019,10,16,Parts per billion,1.4125,1.9,8,NA,Parts per million,0.758333,1.3,9,15
122736,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-25,Parts per billion,40.454545,48,17,45,Parts per million,0.001875,0.005,7,4,Parts per billion,1.159091,1.8,21,1,Parts per million,0.686364,1.5,20,NA
122737,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-25,Parts per billion,40.454545,48,17,45,Parts per million,0.001875,0.005,7,4,Parts per billion,1.159091,1.8,21,1,Parts per million,0.641667,1,23,11
122738,49,35,3006,"1675 SOUTH 600 EAST, SALT LAKE CITY",Utah,Salt Lake,Salt Lake City,2011-01-25,Parts per billion,40.454545,48,17,45,Parts per million,0.001875,0.005,7,4,Parts per billion,1.166667,1.4,23,NA,Parts per million,0.686364,1.5,20,NA
